Country,DAA,YearMon,timeID,unitID,post_treat,treated
BE,37.72795833333333,2016-9,21,2,0,0
BE,57.187862903225806,2016-10,22,2,0,0
BE,62.32376388888889,2016-11,23,2,0,0
BE,54.919422043010755,2016-12,24,2,0,0
BE,72.66069892473118,2017-1,25,2,0,0
BE,47.545386904761905,2017-2,26,2,0,0
BE,34.46643817204301,2017-3,27,2,0,0
BE,37.31644444444444,2017-4,28,2,0,0
BE,37.20329301075269,2017-5,29,2,0,0
BE,32.71568055555556,2017-6,30,2,0,0
BE,33.54836021505376,2017-7,31,2,0,0
BE,31.79092741935484,2017-8,32,2,0,0
BE,37.19795833333333,2017-9,33,2,0,0
BE,49.00771505376344,2017-10,34,2,0,0
BE,66.62538888888889,2017-11,35,2,0,0
BE,55.02456989247312,2017-12,36,2,0,0
BE,36.80581989247312,2018-1,37,2,0,0
BE,47.39071428571429,2018-2,38,2,0,0
BE,50.70198924731183,2018-3,39,2,0,0
BE,37.74448611111111,2018-4,40,2,0,0
BE,44.555067204301075,2018-5,41,2,0,0
BE,49.93268055555556,2018-6,42,2,0,0
BE,52.95994623655914,2018-7,43,2,0,0
BE,60.737177419354836,2018-8,44,2,0,0
BE,68.72226388888889,2018-9,45,2,0,0
BE,76.05317204301075,2018-10,46,2,0,0
BE,77.7275,2018-11,47,2,0,0
BE,59.663924731182796,2018-12,48,2,0,0
BE,60.476290322580645,2019-1,49,2,0,0
BE,47.56742559523809,2019-2,50,2,0,0
BE,37.608655913978495,2019-3,51,2,0,0
BE,37.924375,2019-4,52,2,0,0
BE,38.000094086021505,2019-5,53,2,0,0
BE,27.485680555555557,2019-6,54,2,0,0
BE,37.762822580645164,2019-7,55,2,0,0
BE,33.694798387096775,2019-8,56,2,0,0
BE,33.585,2019-9,57,2,0,0
BE,37.61966397849462,2019-10,58,2,0,0
BE,44.408208333333334,2019-11,59,2,0,0
BE,36.361397849462364,2019-12,60,2,0,0
BE,37.847150537634406,2020-1,61,2,0,0
BE,28.356206896551726,2020-2,62,2,0,0
BE,24.022647849462366,2020-3,63,2,0,0
BE,14.679916666666667,2020-4,64,2,0,0
BE,15.408602150537634,2020-5,65,2,0,0
BE,25.590027777777777,2020-6,66,2,0,0
BE,29.872083333333332,2020-7,67,2,0,0
BE,35.55323924731183,2020-8,68,2,0,0
BE,44.22519444444445,2020-9,69,2,0,0
BE,39.38008064516129,2020-10,70,2,0,0
BE,39.934777777777775,2020-11,71,2,0,0
BE,47.395591397849465,2020-12,72,2,0,0
BE,57.44375,2021-1,73,2,0,0
BE,48.5677380952381,2021-2,74,2,0,0
BE,46.6275940860215,2021-3,75,2,0,0
BE,57.03651388888889,2021-4,76,2,0,0
BE,55.613373655913975,2021-5,77,2,0,0
BE,74.49495833333333,2021-6,78,2,0,0
BE,77.37272849462366,2021-7,79,2,0,0
BE,79.55462365591399,2021-8,80,2,0,0
BE,136.14890277777778,2021-9,81,2,0,0
BE,165.37045698924732,2021-10,82,2,0,0
BE,202.1688611111111,2021-11,83,2,0,0
BE,245.4303494623656,2021-12,84,2,0,0
BE,191.56244623655914,2022-1,85,2,0,0
BE,162.63748511904762,2022-2,86,2,0,0
BE,265.51270161290324,2022-3,87,2,0,0
BE,186.71780555555554,2022-4,88,2,0,0
BE,176.6657123655914,2022-5,89,2,0,0
BE,219.29344444444445,2022-6,90,2,1,0
BE,321.5475940860215,2022-7,91,2,1,0
BE,448.1226075268817,2022-8,92,2,1,0
BE,345.72647222222224,2022-9,93,2,1,0
BE,157.5072446236559,2022-10,94,2,1,0
BE,180.69505555555557,2022-11,95,2,1,0
BE,268.89071353436185,2022-12,96,2,1,0
BG,NA,2015-1,1,3,0,0
BG,NA,2015-2,2,3,0,0
BG,NA,2015-3,3,3,0,0
BG,NA,2015-4,4,3,0,0
BG,NA,2015-5,5,3,0,0
BG,NA,2015-6,6,3,0,0
BG,NA,2015-7,7,3,0,0
BG,NA,2015-8,8,3,0,0
BG,NA,2015-9,9,3,0,0
BG,NA,2015-10,10,3,0,0
BG,NA,2015-11,11,3,0,0
BG,NA,2015-12,12,3,0,0
BG,NA,2016-1,13,3,0,0
BG,NA,2016-2,14,3,0,0
BG,NA,2016-3,15,3,0,0
BG,NA,2016-4,16,3,0,0
BG,NA,2016-5,17,3,0,0
BG,NA,2016-6,18,3,0,0
BG,NA,2016-7,19,3,0,0
BG,NA,2016-8,20,3,0,0
BG,NA,2016-9,21,3,0,0
BG,67.13499999999999,2016-10,22,3,0,0
BG,71.2735276111944,2016-11,23,3,0,0
BG,79.24192999482402,2016-12,24,3,0,0
BG,106.41166666666666,2017-1,25,3,0,0
