date,obs,synth,gaps,upper,lower,method,n,outcome,treated,CT
2015-09-15,100.46,100.09131591059035,0.3686840894096406,NA,NA,iid,96,FOOD,PT,TRUE
2015-10-15,100.6,100.30704007481646,0.2929599251835384,NA,NA,iid,96,FOOD,PT,TRUE
2015-11-15,100.01,100.14181662055705,-0.13181662055704635,NA,NA,iid,96,FOOD,PT,TRUE
2015-12-15,99.88,99.76593599529487,0.11406400470512779,NA,NA,iid,96,FOOD,PT,TRUE
2016-01-15,100.43,100.05552242325749,0.374477576742521,NA,NA,iid,96,FOOD,PT,TRUE
2016-02-15,99.41,100.1440960504014,-0.7340960504014049,NA,NA,iid,96,FOOD,PT,TRUE
2016-03-15,99.28,100.11191140417088,-0.8319114041708815,NA,NA,iid,96,FOOD,PT,TRUE
2016-04-15,100,100.7624582413248,-0.7624582413247936,NA,NA,iid,96,FOOD,PT,TRUE
2016-05-15,100.43,100.89620201739686,-0.46620201739685285,NA,NA,iid,96,FOOD,PT,TRUE
2016-06-15,101.47,100.77482666201762,0.6951733379823821,NA,NA,iid,96,FOOD,PT,TRUE
2016-07-15,101.74,100.72093067651392,1.0190693234860788,NA,NA,iid,96,FOOD,PT,TRUE
2016-08-15,101.94,100.69312038779165,1.246879612208346,NA,NA,iid,96,FOOD,PT,TRUE
2016-09-15,101.36,100.3352488107881,1.024751189211898,NA,NA,iid,96,FOOD,PT,TRUE
2016-10-15,101.15,100.26560915478794,0.8843908452120672,NA,NA,iid,96,FOOD,PT,TRUE
2016-11-15,100.55,100.53667464169087,0.01332535830913173,NA,NA,iid,96,FOOD,PT,TRUE
2016-12-15,100.57,100.58625948523695,-0.01625948523695797,NA,NA,iid,96,FOOD,PT,TRUE
2017-01-15,101.68,101.29343182694691,0.3865681730530923,NA,NA,iid,96,FOOD,PT,TRUE
2017-02-15,101.27,101.87960195074909,-0.6096019507490951,NA,NA,iid,96,FOOD,PT,TRUE
2017-03-15,101.58,101.33169733402352,0.24830266597648176,NA,NA,iid,96,FOOD,PT,TRUE
2017-04-15,101.86,101.6533869892161,0.20661301078389727,NA,NA,iid,96,FOOD,PT,TRUE
2017-05-15,102.34,101.60031999193373,0.7396800080662729,NA,NA,iid,96,FOOD,PT,TRUE
2017-06-15,101.68,101.43764875506898,0.24235124493102944,NA,NA,iid,96,FOOD,PT,TRUE
2017-07-15,102.05,101.80766159267452,0.24233840732547662,NA,NA,iid,96,FOOD,PT,TRUE
2017-08-15,102.3,101.84216879103248,0.4578312089675194,NA,NA,iid,96,FOOD,PT,TRUE
2017-09-15,102.42,101.97683975536413,0.44316024463587667,NA,NA,iid,96,FOOD,PT,TRUE
2017-10-15,102.25,102.05269571387441,0.19730428612558626,NA,NA,iid,96,FOOD,PT,TRUE
2017-11-15,102.7,102.29709714449923,0.4029028555007699,NA,NA,iid,96,FOOD,PT,TRUE
2017-12-15,102.5,102.00260164864973,0.4973983513502702,NA,NA,iid,96,FOOD,PT,TRUE
2018-01-15,103.05,102.68235827657232,0.3676417234276812,NA,NA,iid,96,FOOD,PT,TRUE
2018-02-15,101.82,102.7056918411161,-0.8856918411161132,NA,NA,iid,96,FOOD,PT,TRUE
2018-03-15,102.05,102.42117463474604,-0.3711746347460405,NA,NA,iid,96,FOOD,PT,TRUE
2018-04-15,103.02,102.84424265730057,0.175757342699427,NA,NA,iid,96,FOOD,PT,TRUE
2018-05-15,103.33,102.837537339801,0.49246266019899565,NA,NA,iid,96,FOOD,PT,TRUE
2018-06-15,103.22,102.79296499668818,0.4270350033118149,NA,NA,iid,96,FOOD,PT,TRUE
2018-07-15,103.55,102.90086413381447,0.6491358661855315,NA,NA,iid,96,FOOD,PT,TRUE
2018-08-15,103.47,102.45683332486664,1.0131666751333626,NA,NA,iid,96,FOOD,PT,TRUE
2018-09-15,103.5,103.01326984536263,0.486730154637371,NA,NA,iid,96,FOOD,PT,TRUE
2018-10-15,103.03,102.99373785594685,0.03626214405315409,NA,NA,iid,96,FOOD,PT,TRUE
2018-11-15,103.31,102.88629550767136,0.42370449232863905,NA,NA,iid,96,FOOD,PT,TRUE
2018-12-15,103.2,102.58940017814635,0.6105998218536541,NA,NA,iid,96,FOOD,PT,TRUE
2019-01-15,103.59,103.76636437091763,-0.17636437091762502,NA,NA,iid,96,FOOD,PT,TRUE
2019-02-15,103.27,104.00521427850404,-0.7352142785040456,NA,NA,iid,96,FOOD,PT,TRUE
2019-03-15,103.5,103.90731718437796,-0.40731718437795905,NA,NA,iid,96,FOOD,PT,TRUE
2019-04-15,103.2,103.87097363422228,-0.6709736342222783,NA,NA,iid,96,FOOD,PT,TRUE
2019-05-15,103.77,104.02661581150393,-0.2566158115039343,NA,NA,iid,96,FOOD,PT,TRUE
2019-06-15,103.83,104.26404441100699,-0.43404441100699387,NA,NA,iid,96,FOOD,PT,TRUE
2019-07-15,103.81,104.47880253585329,-0.6688025358532883,NA,NA,iid,96,FOOD,PT,TRUE
2019-08-15,103.67,104.06808000386486,-0.3980800038648624,NA,NA,iid,96,FOOD,PT,TRUE
2019-09-15,103.68,103.96977316172708,-0.28977316172706935,NA,NA,iid,96,FOOD,PT,TRUE
2019-10-15,103.68,104.00868868059825,-0.32868868059824763,NA,NA,iid,96,FOOD,PT,TRUE
2019-11-15,103.87,104.20286034573871,-0.33286034573870893,NA,NA,iid,96,FOOD,PT,TRUE
2019-12-15,103.43,103.90398767311504,-0.4739876731150332,NA,NA,iid,96,FOOD,PT,TRUE
2020-01-15,104.59,104.9368714303869,-0.34687143038689783,NA,NA,iid,96,FOOD,PT,TRUE
2020-02-15,104.15,105.32126941076487,-1.1712694107648645,NA,NA,iid,96,FOOD,PT,TRUE
2020-03-15,104.73,105.62700908090505,-0.8970090809050504,NA,NA,iid,96,FOOD,PT,TRUE
2020-04-15,106.45,106.30092069834944,0.14907930165055916,NA,NA,iid,96,FOOD,PT,TRUE
2020-05-15,105.53,106.42791817089999,-0.8979181708999846,NA,NA,iid,96,FOOD,PT,TRUE
2020-06-15,106.61,106.36731888953257,0.24268111046743002,NA,NA,iid,96,FOOD,PT,TRUE
2020-07-15,105.89,105.9928796434161,-0.10287964341610234,NA,NA,iid,96,FOOD,PT,TRUE
