p_val,att,se,method,n,outcome,treated,CT
0.004995004995004995,NA,NA,iid 1000,48,DAA,ES,FALSE
0.0017996400719856027,NA,NA,iid 5000,48,DAA,ES,FALSE
0.0017998200179982003,NA,NA,iid 10000,48,DAA,ES,FALSE
0.03636363636363636,NA,NA,mb,48,DAA,ES,FALSE
0.024975024975024976,NA,NA,iid 1000,48,CP00,ES,FALSE
0.026394721055788842,NA,NA,iid 5000,48,CP00,ES,FALSE
0.026297370262973706,NA,NA,iid 10000,48,CP00,ES,FALSE
0.037037037037037035,NA,NA,mb,48,CP00,ES,FALSE
0.07792207792207792,NA,NA,iid 1000,48,GD,ES,FALSE
0.08498300339932013,NA,NA,iid 5000,48,GD,ES,FALSE
0.07389261073892611,NA,NA,iid 10000,48,GD,ES,FALSE
0.09259259259259259,NA,NA,mb,48,GD,ES,FALSE
0.021978021978021976,NA,NA,iid 1000,48,SERV,ES,FALSE
0.01979604079184163,NA,NA,iid 5000,48,SERV,ES,FALSE
0.024197580241975804,NA,NA,iid 10000,48,SERV,ES,FALSE
0.12962962962962962,NA,NA,mb,48,SERV,ES,FALSE
0.003996003996003996,NA,NA,iid 1000,48,IGD,ES,FALSE
0.003199360127974405,NA,NA,iid 5000,48,IGD,ES,FALSE
0.0016998300169983002,NA,NA,iid 10000,48,IGD,ES,FALSE
0.018518518518518517,NA,NA,mb,48,IGD,ES,FALSE
0.25874125874125875,NA,NA,iid 1000,48,FOOD,ES,FALSE
0.2819436112777444,NA,NA,iid 5000,48,FOOD,ES,FALSE
0.28587141285871415,NA,NA,iid 10000,48,FOOD,ES,FALSE
0.2777777777777778,NA,NA,mb,48,FOOD,ES,FALSE
0.007992007992007992,NA,NA,iid 1000,48,NRG,ES,FALSE
0.005598880223955209,NA,NA,iid 5000,48,NRG,ES,FALSE
0.005999400059994001,NA,NA,iid 10000,48,NRG,ES,FALSE
0.09259259259259259,NA,NA,mb,48,NRG,ES,FALSE
0.5224775224775224,NA,NA,iid 1000,48,IGD_NNRG,ES,FALSE
0.5202959408118376,NA,NA,iid 5000,48,IGD_NNRG,ES,FALSE
0.5221477852214779,NA,NA,iid 10000,48,IGD_NNRG,ES,FALSE
0.5925925925925926,NA,NA,mb,48,IGD_NNRG,ES,FALSE
0.02997002997002997,NA,NA,iid 1000,48,TOT_X_NRG,ES,FALSE
0.033593281343731254,NA,NA,iid 5000,48,TOT_X_NRG,ES,FALSE
0.038696130386961305,NA,NA,iid 10000,48,TOT_X_NRG,ES,FALSE
0.09259259259259259,NA,NA,mb,48,TOT_X_NRG,ES,FALSE
0.001998001998001998,NA,NA,iid 1000,72,DAA,ES,FALSE
1.999600079984003e-4,NA,NA,iid 5000,72,DAA,ES,FALSE
3.9996000399960006e-4,NA,NA,iid 10000,72,DAA,ES,FALSE
0.02531645569620253,NA,NA,mb,72,DAA,ES,FALSE
9.99000999000999e-4,NA,NA,iid 1000,72,CP00,ES,FALSE
0.0015996800639872025,NA,NA,iid 5000,72,CP00,ES,FALSE
9.99900009999e-4,NA,NA,iid 10000,72,CP00,ES,FALSE
0.01282051282051282,NA,NA,mb,72,CP00,ES,FALSE
0.021978021978021976,NA,NA,iid 1000,72,GD,ES,FALSE
0.015196960607878424,NA,NA,iid 5000,72,GD,ES,FALSE
0.012598740125987402,NA,NA,iid 10000,72,GD,ES,FALSE
0.038461538461538464,NA,NA,mb,72,GD,ES,FALSE
0.08291708291708291,NA,NA,iid 1000,72,SERV,ES,FALSE
0.07558488302339532,NA,NA,iid 5000,72,SERV,ES,FALSE
0.0731926807319268,NA,NA,iid 10000,72,SERV,ES,FALSE
0.16666666666666666,NA,NA,mb,72,SERV,ES,FALSE
0.002997002997002997,NA,NA,iid 1000,72,IGD,ES,FALSE
0.0011997600479904018,NA,NA,iid 5000,72,IGD,ES,FALSE
2.9997000299970003e-4,NA,NA,iid 10000,72,IGD,ES,FALSE
0.01282051282051282,NA,NA,mb,72,IGD,ES,FALSE
0.3096903096903097,NA,NA,iid 1000,72,FOOD,ES,FALSE
0.3141371725654869,NA,NA,iid 5000,72,FOOD,ES,FALSE
0.32096790320967905,NA,NA,iid 10000,72,FOOD,ES,FALSE
0.32051282051282054,NA,NA,mb,72,FOOD,ES,FALSE
0.001998001998001998,NA,NA,iid 1000,72,NRG,ES,FALSE
9.998000399920016e-4,NA,NA,iid 5000,72,NRG,ES,FALSE
8.999100089991002e-4,NA,NA,iid 10000,72,NRG,ES,FALSE
0.05128205128205128,NA,NA,mb,72,NRG,ES,FALSE
0.3826173826173826,NA,NA,iid 1000,72,IGD_NNRG,ES,FALSE
0.396120775844831,NA,NA,iid 5000,72,IGD_NNRG,ES,FALSE
0.3912608739126088,NA,NA,iid 10000,72,IGD_NNRG,ES,FALSE
0.4358974358974359,NA,NA,mb,72,IGD_NNRG,ES,FALSE
0.015984015984015984,NA,NA,iid 1000,72,TOT_X_NRG,ES,FALSE
0.009798040391921616,NA,NA,iid 5000,72,TOT_X_NRG,ES,FALSE
0.007499250074992501,NA,NA,iid 10000,72,TOT_X_NRG,ES,FALSE
0.0641025641025641,NA,NA,mb,72,TOT_X_NRG,ES,FALSE
0.001998001998001998,NA,NA,iid 1000,96,DAA,ES,FALSE
1.999600079984003e-4,NA,NA,iid 5000,96,DAA,ES,FALSE
1.9998000199980003e-4,NA,NA,iid 10000,96,DAA,ES,FALSE
0.020833333333333332,NA,NA,mb,96,DAA,ES,FALSE
0.001998001998001998,NA,NA,iid 1000,96,CP00,ES,FALSE
9.998000399920016e-4,NA,NA,iid 5000,96,CP00,ES,FALSE
2.9997000299970003e-4,NA,NA,iid 10000,96,CP00,ES,FALSE
0.00980392156862745,NA,NA,mb,96,CP00,ES,FALSE
0.003996003996003996,NA,NA,iid 1000,96,GD,ES,FALSE
9.998000399920016e-4,NA,NA,iid 5000,96,GD,ES,FALSE
0.0014998500149985003,NA,NA,iid 10000,96,GD,ES,FALSE
0.00980392156862745,NA,NA,mb,96,GD,ES,FALSE
0.014985014985014984,NA,NA,iid 1000,96,SERV,ES,FALSE
0.015396920615876823,NA,NA,iid 5000,96,SERV,ES,FALSE
0.013198680131986803,NA,NA,iid 10000,96,SERV,ES,FALSE
0.10784313725490197,NA,NA,mb,96,SERV,ES,FALSE
0.002997002997002997,NA,NA,iid 1000,96,IGD,ES,FALSE
7.998400319936012e-4,NA,NA,iid 5000,96,IGD,ES,FALSE
0.0010998900109989002,NA,NA,iid 10000,96,IGD,ES,FALSE
0.0196078431372549,NA,NA,mb,96,IGD,ES,FALSE
0.17782217782217782,NA,NA,iid 1000,96,FOOD,ES,FALSE
0.19956008798240352,NA,NA,iid 5000,96,FOOD,ES,FALSE
0.20347965203479654,NA,NA,iid 10000,96,FOOD,ES,FALSE
0.19607843137254902,NA,NA,mb,96,FOOD,ES,FALSE
9.99000999000999e-4,NA,NA,iid 1000,96,NRG,ES,FALSE
1.999600079984003e-4,NA,NA,iid 5000,96,NRG,ES,FALSE
3.9996000399960006e-4,NA,NA,iid 10000,96,NRG,ES,FALSE
0.029411764705882353,NA,NA,mb,96,NRG,ES,FALSE
0.2097902097902098,NA,NA,iid 1000,96,IGD_NNRG,ES,FALSE
0.21915616876624675,NA,NA,iid 5000,96,IGD_NNRG,ES,FALSE
0.21547845215478453,NA,NA,iid 10000,96,IGD_NNRG,ES,FALSE
0.28431372549019607,NA,NA,mb,96,IGD_NNRG,ES,FALSE
9.99000999000999e-4,NA,NA,iid 1000,96,TOT_X_NRG,ES,FALSE
5.998800239952009e-4,NA,NA,iid 5000,96,TOT_X_NRG,ES,FALSE
0.0017998200179982003,NA,NA,iid 10000,96,TOT_X_NRG,ES,FALSE
0.029411764705882353,NA,NA,mb,96,TOT_X_NRG,ES,FALSE
9.99000999000999e-4,NA,NA,iid 1000,48,DAA,PT,FALSE
0.001999600079984003,NA,NA,iid 5000,48,DAA,PT,FALSE
0.0024997500249975004,NA,NA,iid 10000,48,DAA,PT,FALSE
0.03636363636363636,NA,NA,mb,48,DAA,PT,FALSE
0.961038961038961,NA,NA,iid 1000,48,CP00,PT,FALSE
0.9530093981203759,NA,NA,iid 5000,48,CP00,PT,FALSE
0.9523047695230478,NA,NA,iid 10000,48,CP00,PT,FALSE
0.9629629629629629,NA,NA,mb,48,CP00,PT,FALSE
0.6563436563436563,NA,NA,iid 1000,48,GD,PT,FALSE
0.669866026794641,NA,NA,iid 5000,48,GD,PT,FALSE
0.6612338766123388,NA,NA,iid 10000,48,GD,PT,FALSE
0.5925925925925926,NA,NA,mb,48,GD,PT,FALSE
0.3776223776223776,NA,NA,iid 1000,48,SERV,PT,FALSE
0.3927214557088582,NA,NA,iid 5000,48,SERV,PT,FALSE
0.39686031396860316,NA,NA,iid 10000,48,SERV,PT,FALSE
0.37037037037037035,NA,NA,mb,48,SERV,PT,FALSE
0.006993006993006993,NA,NA,iid 1000,48,IGD,PT,FALSE
0.010597880423915216,NA,NA,iid 5000,48,IGD,PT,FALSE
0.011998800119988003,NA,NA,iid 10000,48,IGD,PT,FALSE
0.09259259259259259,NA,NA,mb,48,IGD,PT,FALSE
0.5674325674325674,NA,NA,iid 1000,48,FOOD,PT,FALSE
0.5708858228354329,NA,NA,iid 5000,48,FOOD,PT,FALSE
0.572042795720428,NA,NA,iid 10000,48,FOOD,PT,FALSE
0.5925925925925926,NA,NA,mb,48,FOOD,PT,FALSE
0.07392607392607392,NA,NA,iid 1000,48,NRG,PT,FALSE
0.07098580283943211,NA,NA,iid 5000,48,NRG,PT,FALSE
0.07379262073792621,NA,NA,iid 10000,48,NRG,PT,FALSE
0.25925925925925924,NA,NA,mb,48,NRG,PT,FALSE
0.4985014985014985,NA,NA,iid 1000,48,IGD_NNRG,PT,FALSE
0.48670265946810637,NA,NA,iid 5000,48,IGD_NNRG,PT,FALSE
0.4795520447955205,NA,NA,iid 10000,48,IGD_NNRG,PT,FALSE
0.3333333333333333,NA,NA,mb,48,IGD_NNRG,PT,FALSE
0.2937062937062937,NA,NA,iid 1000,48,TOT_X_NRG,PT,FALSE
0.2929414117176565,NA,NA,iid 5000,48,TOT_X_NRG,PT,FALSE
0.2830716928307169,NA,NA,iid 10000,48,TOT_X_NRG,PT,FALSE
0.37037037037037035,NA,NA,mb,48,TOT_X_NRG,PT,FALSE
0.002997002997002997,NA,NA,iid 1000,72,DAA,PT,FALSE
5.998800239952009e-4,NA,NA,iid 5000,72,DAA,PT,FALSE
5.999400059994001e-4,NA,NA,iid 10000,72,DAA,PT,FALSE
0.02531645569620253,NA,NA,mb,72,DAA,PT,FALSE
0.7672327672327672,NA,NA,iid 1000,72,CP00,PT,FALSE
0.7696460707858428,NA,NA,iid 5000,72,CP00,PT,FALSE
0.7555244475552445,NA,NA,iid 10000,72,CP00,PT,FALSE
0.6794871794871795,NA,NA,mb,72,CP00,PT,FALSE
0.17482517482517482,NA,NA,iid 1000,72,GD,PT,FALSE
0.16016796640671865,NA,NA,iid 5000,72,GD,PT,FALSE
0.15628437156284372,NA,NA,iid 10000,72,GD,PT,FALSE
0.28205128205128205,NA,NA,mb,72,GD,PT,FALSE
0.4405594405594406,NA,NA,iid 1000,72,SERV,PT,FALSE
0.4377124575084983,NA,NA,iid 5000,72,SERV,PT,FALSE
0.43625637436256376,NA,NA,iid 10000,72,SERV,PT,FALSE
0.4230769230769231,NA,NA,mb,72,SERV,PT,FALSE
0.007992007992007992,NA,NA,iid 1000,72,IGD,PT,FALSE
0.008398320335932814,NA,NA,iid 5000,72,IGD,PT,FALSE
0.010398960103989602,NA,NA,iid 10000,72,IGD,PT,FALSE
0.10256410256410256,NA,NA,mb,72,IGD,PT,FALSE
0.3026973026973027,NA,NA,iid 1000,72,FOOD,PT,FALSE
0.29874025194961007,NA,NA,iid 5000,72,FOOD,PT,FALSE
0.29157084291570845,NA,NA,iid 10000,72,FOOD,PT,FALSE
0.24358974358974358,NA,NA,mb,72,FOOD,PT,FALSE
0.1048951048951049,NA,NA,iid 1000,72,NRG,PT,FALSE
0.11357728454309138,NA,NA,iid 5000,72,NRG,PT,FALSE
