unit,rmspe_ratio,rank,p_val,n,outcome,treated,CT
SE,3.18454546771245,8,0.3333333333333333,48,SERV,ES,TRUE
SI,0.779745862131075,23,0.9583333333333334,48,SERV,ES,TRUE
SK,1.69347110808962,17,0.7083333333333334,48,SERV,ES,TRUE
AT,2.99778820030121,17,0.7083333333333334,48,IGD,ES,TRUE
BE,2.62985383377447,18,0.75,48,IGD,ES,TRUE
BG,5.85637995679548,8,0.3333333333333333,48,IGD,ES,TRUE
CZ,6.02786430273186,6,0.25,48,IGD,ES,TRUE
DE,5.07488879707906,11,0.4583333333333333,48,IGD,ES,TRUE
DK,5.95794583773413,7,0.2916666666666667,48,IGD,ES,TRUE
EE,4.35060050314045,14,0.5833333333333334,48,IGD,ES,TRUE
GR,5.5555326615195,10,0.4166666666666667,48,IGD,ES,TRUE
ES,6.92406351601944,5,0.20833333333333334,48,IGD,ES,TRUE
FI,7.76112125920158,3,0.125,48,IGD,ES,TRUE
HR,3.74775422372009,15,0.625,48,IGD,ES,TRUE
HU,11.7441669258602,21,0.875,48,IGD,ES,TRUE
IE,0.982006827556972,24,1,48,IGD,ES,TRUE
IT,8.55219959592163,2,0.08333333333333333,48,IGD,ES,TRUE
LT,5.61147366059692,9,0.375,48,IGD,ES,TRUE
LU,7.39939025764369,4,0.16666666666666666,48,IGD,ES,TRUE
LV,8.90487061321399,1,0.041666666666666664,48,IGD,ES,TRUE
NL,4.38829099552388,12,0.5,48,IGD,ES,TRUE
NO,1.71011172002321,22,0.9166666666666666,48,IGD,ES,TRUE
PL,3.64425256927875,16,0.6666666666666666,48,IGD,ES,TRUE
RO,2.16226156125771,19,0.7916666666666666,48,IGD,ES,TRUE
SE,4.36468668511785,13,0.5416666666666666,48,IGD,ES,TRUE
SI,1.38658590633641,23,0.9583333333333334,48,IGD,ES,TRUE
SK,2.12686693118432,20,0.8333333333333334,48,IGD,ES,TRUE
AT,0.734105904437649,24,1,48,FOOD,ES,TRUE
BE,1.34209709747959,23,0.9583333333333334,48,FOOD,ES,TRUE
BG,2.40569550837039,11,0.4583333333333333,48,FOOD,ES,TRUE
CZ,4.23959321932738,6,0.25,48,FOOD,ES,TRUE
DE,1.73800612569397,17,0.7083333333333334,48,FOOD,ES,TRUE
DK,3.92653887927822,8,0.3333333333333333,48,FOOD,ES,TRUE
EE,1.98015683245132,15,0.625,48,FOOD,ES,TRUE
GR,1.55325561433218,20,0.8333333333333334,48,FOOD,ES,TRUE
ES,2.05411391136484,13,0.5416666666666666,48,FOOD,ES,TRUE
FI,1.34930590015488,22,0.9166666666666666,48,FOOD,ES,TRUE
HR,2.86662130864896,10,0.4166666666666667,48,FOOD,ES,TRUE
HU,4.89477082590031,4,0.16666666666666666,48,FOOD,ES,TRUE
IE,1.53492735134874,21,0.875,48,FOOD,ES,TRUE
IT,1.79990841587786,16,0.6666666666666666,48,FOOD,ES,TRUE
LT,4.34980512894456,5,0.20833333333333334,48,FOOD,ES,TRUE
LU,7.15626354916304,2,0.08333333333333333,48,FOOD,ES,TRUE
LV,3.09827439358251,9,0.375,48,FOOD,ES,TRUE
NL,1.71095507979194,18,0.75,48,FOOD,ES,TRUE
NO,1.5889044943265,19,0.7916666666666666,48,FOOD,ES,TRUE
PL,9.42255224582078,1,0.041666666666666664,48,FOOD,ES,TRUE
RO,13.1850850647506,14,0.5833333333333334,48,FOOD,ES,TRUE
SE,4.08961442785205,7,0.2916666666666667,48,FOOD,ES,TRUE
SI,2.22927525786894,12,0.5,48,FOOD,ES,TRUE
SK,5.60993231903547,3,0.125,48,FOOD,ES,TRUE
AT,12.7817134645499,21,0.875,48,NRG,ES,TRUE
BE,1.85909432797216,23,0.9583333333333334,48,NRG,ES,TRUE
BG,12.4344369754762,22,0.9166666666666666,48,NRG,ES,TRUE
CZ,7.11204424997746,5,0.20833333333333334,48,NRG,ES,TRUE
DE,5.05314120762972,11,0.4583333333333333,48,NRG,ES,TRUE
DK,5.41086326569731,10,0.4166666666666667,48,NRG,ES,TRUE
EE,4.0345681981288,15,0.625,48,NRG,ES,TRUE
GR,18.2109936620361,20,0.8333333333333334,48,NRG,ES,TRUE
ES,9.62835434824856,1,0.041666666666666664,48,NRG,ES,TRUE
FI,6.06834364822451,7,0.2916666666666667,48,NRG,ES,TRUE
HR,7.61807584758146,4,0.16666666666666666,48,NRG,ES,TRUE
HU,5.71090819752335,9,0.375,48,NRG,ES,TRUE
IE,6.39040969752164,6,0.25,48,NRG,ES,TRUE
IT,20.2057740175898,16,0.6666666666666666,48,NRG,ES,TRUE
LT,8.42137058692272,3,0.125,48,NRG,ES,TRUE
LU,4.96803931111418,12,0.5,48,NRG,ES,TRUE
LV,9.15816458168696,2,0.08333333333333333,48,NRG,ES,TRUE
NL,4.52086821910367,13,0.5416666666666666,48,NRG,ES,TRUE
NO,1.42646836617155,24,1,48,NRG,ES,TRUE
PL,4.33436475491977,14,0.5833333333333334,48,NRG,ES,TRUE
RO,2.02356483059047,19,0.7916666666666666,48,NRG,ES,TRUE
SE,5.74586692753725,8,0.3333333333333333,48,NRG,ES,TRUE
SI,2.9242680655553,18,0.75,48,NRG,ES,TRUE
SK,2.92497613486065,17,0.7083333333333334,48,NRG,ES,TRUE
AT,0.808947139958917,24,1,48,IGD_NNRG,ES,TRUE
BE,0.856908893476806,23,0.9583333333333334,48,IGD_NNRG,ES,TRUE
BG,1.27834278893024,16,0.6666666666666666,48,IGD_NNRG,ES,TRUE
CZ,1.60238192160256,13,0.5416666666666666,48,IGD_NNRG,ES,TRUE
DE,2.55738041508028,5,0.20833333333333334,48,IGD_NNRG,ES,TRUE
DK,0.887791342780232,21,0.875,48,IGD_NNRG,ES,TRUE
EE,1.93267085122452,10,0.4166666666666667,48,IGD_NNRG,ES,TRUE
GR,1.88457508062298,11,0.4583333333333333,48,IGD_NNRG,ES,TRUE
ES,1.52795034250244,14,0.5833333333333334,48,IGD_NNRG,ES,TRUE
FI,3.25157495784063,2,0.08333333333333333,48,IGD_NNRG,ES,TRUE
HR,2.38279011565342,7,0.2916666666666667,48,IGD_NNRG,ES,TRUE
HU,11.2305939275677,9,0.375,48,IGD_NNRG,ES,TRUE
IE,1.37788829165652,15,0.625,48,IGD_NNRG,ES,TRUE
IT,1.0653183143912,18,0.75,48,IGD_NNRG,ES,TRUE
LT,0.974766056315745,20,0.8333333333333334,48,IGD_NNRG,ES,TRUE
LU,1.0468103394609,19,0.7916666666666666,48,IGD_NNRG,ES,TRUE
LV,0.881349853004426,22,0.9166666666666666,48,IGD_NNRG,ES,TRUE
NL,2.53145814214875,6,0.25,48,IGD_NNRG,ES,TRUE
NO,2.8193227424676,4,0.16666666666666666,48,IGD_NNRG,ES,TRUE
PL,1.21956165380253,17,0.7083333333333334,48,IGD_NNRG,ES,TRUE
RO,2.1187301355009,8,0.3333333333333333,48,IGD_NNRG,ES,TRUE
SE,2.99056941719059,3,0.125,48,IGD_NNRG,ES,TRUE
SI,3.35201493913372,1,0.041666666666666664,48,IGD_NNRG,ES,TRUE
SK,1.69773582316191,12,0.5,48,IGD_NNRG,ES,TRUE
