p_val,att,se,method,n,outcome,treated,CT
0.0011998800119988001,NA,NA,iid 10000,96,CP00,ES,TRUE
0.0196078431372549,NA,NA,mb,96,CP00,ES,TRUE
0.016983016983016984,NA,NA,iid 1000,96,GD,ES,TRUE
0.016196760647870425,NA,NA,iid 5000,96,GD,ES,TRUE
0.015698430156984303,NA,NA,iid 10000,96,GD,ES,TRUE
0.058823529411764705,NA,NA,mb,96,GD,ES,TRUE
0.02097902097902098,NA,NA,iid 1000,96,SERV,ES,TRUE
0.02539492101579684,NA,NA,iid 5000,96,SERV,ES,TRUE
0.021197880211978805,NA,NA,iid 10000,96,SERV,ES,TRUE
0.10784313725490197,NA,NA,mb,96,SERV,ES,TRUE
0.030969030969030968,NA,NA,iid 1000,96,IGD,ES,TRUE
0.039192161567686463,NA,NA,iid 5000,96,IGD,ES,TRUE
0.040995900409959006,NA,NA,iid 10000,96,IGD,ES,TRUE
0.09803921568627451,NA,NA,mb,96,IGD,ES,TRUE
0.2997002997002997,NA,NA,iid 1000,96,FOOD,ES,TRUE
0.3209358128374325,NA,NA,iid 5000,96,FOOD,ES,TRUE
0.31266873312668736,NA,NA,iid 10000,96,FOOD,ES,TRUE
0.4215686274509804,NA,NA,mb,96,FOOD,ES,TRUE
0.006993006993006993,NA,NA,iid 1000,96,NRG,ES,TRUE
0.008198360327934412,NA,NA,iid 5000,96,NRG,ES,TRUE
0.0081991800819918,NA,NA,iid 10000,96,NRG,ES,TRUE
0.12745098039215685,NA,NA,mb,96,NRG,ES,TRUE
0.2007992007992008,NA,NA,iid 1000,96,IGD_NNRG,ES,TRUE
0.21375724855028994,NA,NA,iid 5000,96,IGD_NNRG,ES,TRUE
0.20967903209679034,NA,NA,iid 10000,96,IGD_NNRG,ES,TRUE
0.2647058823529412,NA,NA,mb,96,IGD_NNRG,ES,TRUE
0.027972027972027972,NA,NA,iid 1000,96,TOT_X_NRG,ES,TRUE
0.026194761047790442,NA,NA,iid 5000,96,TOT_X_NRG,ES,TRUE
0.024997500249975005,NA,NA,iid 10000,96,TOT_X_NRG,ES,TRUE
0.06862745098039216,NA,NA,mb,96,TOT_X_NRG,ES,TRUE
9.99000999000999e-4,NA,NA,iid 1000,48,DAA,PT,TRUE
0.001999600079984003,NA,NA,iid 5000,48,DAA,PT,TRUE
0.0024997500249975004,NA,NA,iid 10000,48,DAA,PT,TRUE
0.03636363636363636,NA,NA,mb,48,DAA,PT,TRUE
0.9140859140859141,NA,NA,iid 1000,48,CP00,PT,TRUE
0.9072185562887423,NA,NA,iid 5000,48,CP00,PT,TRUE
0.9072092790720928,NA,NA,iid 10000,48,CP00,PT,TRUE
0.7222222222222222,NA,NA,mb,48,CP00,PT,TRUE
0.9210789210789211,NA,NA,iid 1000,48,GD,PT,TRUE
0.9248150369926015,NA,NA,iid 5000,48,GD,PT,TRUE
0.9209079092090792,NA,NA,iid 10000,48,GD,PT,TRUE
0.8703703703703703,NA,NA,mb,48,GD,PT,TRUE
0.6223776223776224,NA,NA,iid 1000,48,SERV,PT,TRUE
0.6110777844431113,NA,NA,iid 5000,48,SERV,PT,TRUE
0.6131386861313869,NA,NA,iid 10000,48,SERV,PT,TRUE
0.46296296296296297,NA,NA,mb,48,SERV,PT,TRUE
0.3776223776223776,NA,NA,iid 1000,48,IGD,PT,TRUE
0.3983203359328134,NA,NA,iid 5000,48,IGD,PT,TRUE
0.39446055394460555,NA,NA,iid 10000,48,IGD,PT,TRUE
